ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
IND,India,urban,Drinking water,2007,0.26466,936486.9782,Surface water
IND,India,rural,Sanitation,2007,4.08853,33908588.19,Unimproved
IND,India,urban,Sanitation,2007,5.12052,18118979.7,Unimproved
IND,India,rural,Drinking water,2007,13.16806,109210477.7,Unimproved
IND,India,urban,Drinking water,2007,4.32922,15318969.31,Unimproved
IND,India,urban,Drinking water,2008,93.01829,337800153.3,At least basic
IND,India,rural,Sanitation,2008,8.14649,68228077.22,Basic service
IND,India,urban,Sanitation,2008,32.44522,117826286.2,Basic service
IND,India,rural,Drinking water,2008,40.87361,342322686,Basic service
IND,India,rural,Sanitation,2008,5.00853,41947225.87,Limited service
IND,India,urban,Sanitation,2008,18.79112,68240807.34,Limited service
IND,India,rural,Drinking water,2008,5.05613,42345874.72,Limited service
IND,India,urban,Drinking water,2008,2.50599,9100617.674,Limited service
IND,India,rural,Sanitation,2008,64.30206,538539471.1,Open defecation
IND,India,urban,Sanitation,2008,16.41989,59629586.44,Open defecation
IND,India,rural,Sanitation,2008,18.58467,155649450.5,Safely managed service
IND,India,urban,Sanitation,2008,27.58464,100174871,Safely managed service
IND,India,rural,Drinking water,2008,40.18558,336560310,Safely managed service
IND,India,rural,Drinking water,2008,1.37751,11536890.62,Surface water
IND,India,urban,Drinking water,2008,0.26255,953468.5544,Surface water
IND,India,rural,Sanitation,2008,3.95825,33150911.26,Unimproved
IND,India,urban,Sanitation,2008,4.75913,17283009.04,Unimproved
IND,India,rural,Drinking water,2008,12.50716,104749374.8,Unimproved
IND,India,urban,Drinking water,2008,4.21317,15300326.92,Unimproved
IND,India,urban,Drinking water,2009,93.07341,346666732.9,At least basic
IND,India,rural,Sanitation,2009,8.80602,74433760.13,Basic service
IND,India,urban,Sanitation,2009,33.19009,123621791.3,Basic service
IND,India,rural,Drinking water,2009,40.06585,338660678.7,Basic service
IND,India,rural,Sanitation,2009,5.43654,45952920.5,Limited service
IND,India,urban,Sanitation,2009,18.9015,70401639.46,Limited service
IND,India,rural,Drinking water,2009,5.12427,43313402.58,Limited service
IND,India,urban,Drinking water,2009,2.56901,9568704.271,Limited service
IND,India,rural,Sanitation,2009,60.8109,514010402.1,Open defecation
IND,India,urban,Sanitation,2009,15.13389,56368587.8,Open defecation
IND,India,rural,Sanitation,2009,21.11858,178506961.8,Safely managed service
IND,India,urban,Sanitation,2009,28.37677,105693782.3,Safely managed service
IND,India,rural,Drinking water,2009,41.63933,351960689.3,Safely managed service
IND,India,rural,Drinking water,2009,1.3243,11193759.59,Surface water
IND,India,urban,Drinking water,2009,0.26045,970077.8976,Surface water
IND,India,rural,Sanitation,2009,3.82796,32356243.5,Unimproved
IND,India,urban,Sanitation,2009,4.39775,16380119.11,Unimproved
IND,India,rural,Drinking water,2009,11.84626,100131757.8,Unimproved
IND,India,urban,Drinking water,2009,4.09713,15260394.82,Unimproved
IND,India,urban,Drinking water,2010,93.1284,355529881.6,At least basic
IND,India,rural,Hygiene,2010,60.01136,511607601.9,Basic service
IND,India,urban,Hygiene,2010,82.28007,314114960.2,Basic service
IND,India,rural,Sanitation,2010,9.4714,80745414.82,Basic service
IND,India,urban,Sanitation,2010,33.93221,129540667.3,Basic service
IND,India,rural,Drinking water,2010,39.23922,334521366,Basic service
IND,India,rural,Sanitation,2010,5.83516,49745824.06,Limited service
IND,India,urban,Sanitation,2010,19.00032,72536201.41,Limited service
IND,India,rural,Drinking water,2010,5.19283,44269847.5,Limited service
IND,India,urban,Drinking water,2010,2.63219,10048720.69,Limited service
IND,India,rural,Sanitation,2010,57.31974,488661115.5,Open defecation
IND,India,urban,Sanitation,2010,13.84789,52866142.23,Open defecation
IND,India,rural,Sanitation,2010,23.67601,201842229.1,Safely managed service
IND,India,urban,Sanitation,2010,29.18322,111410766.2,Safely managed service
IND,India,rural,Drinking water,2010,43.1115,367533311.3,Safely managed service
IND,India,rural,Drinking water,2010,1.27108,10836188.73,Surface water
IND,India,urban,Drinking water,2010,0.25834,986258.8271,Surface water
IND,India,rural,Sanitation,2010,3.69768,31523368.61,Unimproved
IND,India,urban,Sanitation,2010,4.03637,15409358.86,Unimproved
IND,India,rural,Drinking water,2010,11.18536,95357238.48,Unimproved
IND,India,urban,Drinking water,2010,3.98108,15198288.51,Unimproved
IND,India,urban,Drinking water,2011,93.18322,364383722.8,At least basic
IND,India,rural,Hygiene,2011,60.01136,515646356.7,Basic service
IND,India,urban,Hygiene,2011,82.28007,321748022.7,Basic service
IND,India,rural,Sanitation,2011,10.14265,87150498.67,Basic service
IND,India,urban,Sanitation,2011,34.67145,135579258.1,Basic service
IND,India,rural,Drinking water,2011,38.39373,329897299.1,Basic service
IND,India,rural,Sanitation,2011,6.2044,53311215.41,Limited service
IND,India,urban,Sanitation,2011,19.08757,74640053.88,Limited service
IND,India,rural,Drinking water,2011,5.26183,45212185.74,Limited service
IND,India,urban,Drinking water,2011,2.69551,10540515.82,Limited service
IND,India,rural,Sanitation,2011,53.82859,462521033.3,Open defecation
IND,India,urban,Sanitation,2011,12.56189,49122023.6,Open defecation
IND,India,rural,Sanitation,2011,26.25697,225612430.6,Safely managed service
IND,India,urban,Sanitation,2011,30.00411,117328072.6,Safely managed service
IND,India,rural,Drinking water,2011,44.60211,383242732.4,Safely managed service
IND,India,rural,Drinking water,2011,1.21786,10464466.84,Surface water
IND,India,urban,Drinking water,2011,0.25624,1001996.489,Surface water
IND,India,rural,Sanitation,2011,3.56739,30652758.12,Unimproved
IND,India,urban,Sanitation,2011,3.67498,14370655.84,Unimproved
IND,India,rural,Drinking water,2011,10.52447,90431251.9,Unimproved
IND,India,urban,Drinking water,2011,3.86503,15113819.78,Unimproved
IND,India,urban,Drinking water,2012,93.23791,373340364.6,At least basic
IND,India,rural,Hygiene,2012,60.01136,519316286.5,Basic service
IND,India,urban,Hygiene,2012,82.28007,329463312.6,Basic service
IND,India,rural,Sanitation,2012,10.81975,93630153.79,Basic service
IND,India,urban,Sanitation,2012,35.4077,141778431.2,Basic service
IND,India,rural,Drinking water,2012,37.52937,324765436.5,Basic service
IND,India,rural,Hygiene,2012,36.70025,317590493,Limited service
IND,India,urban,Hygiene,2012,16.05205,64275138.9,Limited service
IND,India,rural,Sanitation,2012,6.54426,56631629.02,Limited service
IND,India,urban,Sanitation,2012,19.16327,76732965.03,Limited service
IND,India,rural,Drinking water,2012,5.33126,46134778.57,Limited service
IND,India,urban,Drinking water,2012,2.75898,11047409.27,Limited service
IND,India,rural,Hygiene,2012,3.28839,28456549.34,No handwashing facility
IND,India,urban,Hygiene,2012,1.66788,6678476.477,No handwashing facility
IND,India,rural,Sanitation,2012,50.33743,435601672.6,Open defecation
IND,India,urban,Sanitation,2012,11.27589,45150570.94,Open defecation
IND,India,rural,Sanitation,2012,28.86145,249756385.3,Safely managed service
IND,India,urban,Sanitation,2012,30.83954,123486747,Safely managed service
IND,India,rural,Drinking water,2012,46.11115,399029000.8,Safely managed service
IND,India,rural,Drinking water,2012,1.16465,10078424.14,Surface water
IND,India,urban,Drinking water,2012,0.25413,1017597.69,Surface water
IND,India,rural,Sanitation,2012,3.43711,29743487.23,Unimproved
IND,India,urban,Sanitation,2012,3.3136,13268213.75,Unimproved
IND,India,rural,Drinking water,2012,9.86357,85355687.91,Unimproved
IND,India,urban,Drinking water,2012,3.74898,15011566.43,Unimproved
IND,India,urban,Drinking water,2013,93.29244,382413094.9,At least basic
IND,India,rural,Hygiene,2013,60.01136,522659447.2,Basic service
IND,India,urban,Hygiene,2013,82.28007,337272493.9,Basic service
IND,India,rural,Sanitation,2013,11.50271,100181020.6,Basic service
IND,India,urban,Sanitation,2013,36.14085,148144215.3,Basic service
IND,India,rural,Drinking water,2013,36.64616,319163936.4,Basic service
IND,India,rural,Hygiene,2013,36.70025,319635019.8,Limited service
IND,India,urban,Hygiene,2013,16.05205,65798635.44,Limited service
IND,India,rural,Sanitation,2013,6.85473,59700211.72,Limited service
IND,India,urban,Sanitation,2013,19.2274,78814635.2,Limited service
IND,India,rural,Drinking water,2013,5.40112,47040210.07,Limited service
IND,India,urban,Drinking water,2013,2.82259,11570033.1,Limited service
IND,India,rural,Hygiene,2013,3.28839,28639741.79,No handwashing facility
IND,India,urban,Hygiene,2013,1.66788,6836774.63,No handwashing facility
IND,India,rural,Sanitation,2013,46.84627,408000232.7,Open defecation
IND,India,urban,Sanitation,2013,9.98989,40949344.91,Open defecation
IND,India,rural,Sanitation,2013,31.48946,274252467.6,Safely managed service
IND,India,urban,Sanitation,2013,31.68964,129898341,Safely managed service
IND,India,rural,Drinking water,2013,47.63862,414901059.7,Safely managed service
IND,India,rural,Drinking water,2013,1.11143,9679820.732,Surface water
IND,India,urban,Drinking water,2013,0.25203,1033091.858,Surface water
IND,India,rural,Sanitation,2013,3.30683,28800275.51,Unimproved
IND,India,urban,Sanitation,2013,2.95222,12101367.63,Unimproved
IND,India,rural,Drinking water,2013,9.20267,80149181.16,Unimproved
IND,India,urban,Drinking water,2013,3.63294,14891695.55,Unimproved
IND,India,urban,Drinking water,2014,93.34682,391652778,At least basic
IND,India,rural,Hygiene,2014,60.01136,525719546.4,Basic service
IND,India,urban,Hygiene,2014,82.28007,345220274.3,Basic service
IND,India,rural,Sanitation,2014,12.19152,106801789.7,Basic service
IND,India,urban,Sanitation,2014,36.87079,154697799.1,Basic service
IND,India,rural,Drinking water,2014,35.74408,313130107.1,Basic service
IND,India,rural,Hygiene,2014,36.70025,321506438.9,Limited service
IND,India,urban,Hygiene,2014,16.05205,67349171.33,Limited service
IND,India,rural,Sanitation,2014,7.13582,62512178.2,Limited service
IND,India,urban,Sanitation,2014,19.27997,80892468.14,Limited service
IND,India,rural,Drinking water,2014,5.47141,47931396.05,Limited service
IND,India,urban,Drinking water,2014,2.88636,12110215.59,Limited service
IND,India,rural,Hygiene,2014,3.28839,28807423.54,No handwashing facility
IND,India,urban,Hygiene,2014,1.66788,6997882.294,No handwashing facility
IND,India,rural,Sanitation,2014,43.35512,379805318.9,Open defecation
IND,India,urban,Sanitation,2014,8.70389,36518672.38,Open defecation
IND,India,rural,Sanitation,2014,34.141,299086556.5,Safely managed service
IND,India,urban,Sanitation,2014,32.55451,136588100.3,Safely managed service
IND,India,rural,Drinking water,2014,49.18452,430872859.4,Safely managed service
IND,India,rural,Drinking water,2014,1.05821,9270296.64,Surface water
IND,India,urban,Drinking water,2014,0.24993,1048607.58,Surface water
IND,India,rural,Sanitation,2014,3.17654,27827564.73,Unimproved
IND,India,urban,Sanitation,2014,2.59083,10870288.1,Unimproved
IND,India,rural,Drinking water,2014,8.54177,74828748.83,Unimproved
IND,India,urban,Drinking water,2014,3.51689,14755720.8,Unimproved
IND,India,urban,Drinking water,2015,93.40106,401090880.4,At least basic
IND,India,rural,Hygiene,2015,60.01136,528534261.6,Basic service
IND,India,urban,Hygiene,2015,82.28007,353334142,Basic service
IND,India,rural,Sanitation,2015,12.88619,113491689.1,Basic service
